code,label,hierarchy,parent_code
1,social,1,
1-1,social-spiritual,2,1
1-2,"social-emotional, individual",2,1
1-3,"social-emotional, collective",2,1
1-4,social-allegorical,2,1
2,economic,1,
2-1,economic-use,2,2
2-2,economic-non-use,2,2
2-3,economic-entertainment,2,2
2-4,economic-allegorical,2,2
3,political,1,
3-1,political-educational,2,3
3-2,political-management,2,3
3-3,political-entertainment,2,3
3-4,political-symbolic,2,3
4,historic,1,
4-1,historic-educational,2,4
4-2,historic-artistic,2,4
4-3,historic-conceptual,2,4
4-4,historic-symbolic,2,4
4-5,historic-archaeological,2,4
5,aesthetical,1,
5-1,aesthetical-artistic,2,5
5-2,aesthetical-notable,2,5
5-3,aesthetical-conceptual,2,5
5-4,aesthetical-evidential,2,5
6,scientific,1,
6-1,scientific-workmanship,2,6
6-2,scientific-technological,2,6
6-3,scientific-conceptual,2,6
7,age,1,
7-1,age-workmanship,2,7
7-2,age-maturity,2,7
7-3,age-existential,2,7
8,ecological,1,
8-1,ecological-spiritual,2,8
8-2,ecological-essential,2,8
8-3,ecological-existential,2,8
